year,exports,imports,deficit,export_to_import_ratio
2010,295957.0,2157722.0,1861765.0,0.13716178451162847
2011,319171.0,2492345.0,2173174.0,0.1280605213162704
2012,276098.0,2507612.0,2231514.0,0.11010395547636556
2013,293841.0,2449057.0,2155216.0,0.11998128259162608
2014,324547.0,2538343.0,2213796.0,0.12785781905755053
2015,325295.0,2634689.0,2309394.0,0.1234661851930152
2016,309627.0,2789486.0,2479859.0,0.11099786842450544
2017,378012.0,3047018.0,2669006.0,0.12405965438996422
2018,367498.0,3347013.0,2979515.0,0.10979879671814839
2019,383493.0,3496941.0,3113448.0,0.10966527602267238
2020,474886.0,3296634.0,2821748.0,0.1440517813017763
2021,755727.0,4684202.0,3928475.0,0.16133527119453858
2022,997776.0,5639398.0,4641622.0,0.17692952332855386
2023,873567.0,5917007.0,5043440.0,0.1476366345349938
2024,944283.0,6370363.0,5426080.0,0.14823064242963863
