year_month,year,month,flow,serbia,control_mean
2017M01,2017,1,export,1969.0,1609.6666666666667
2017M02,2017,2,export,1841.0,2594.3333333333335
2017M03,2017,3,export,2072.0,3812.6666666666665
2017M04,2017,4,export,4510.0,3744.0
2017M05,2017,5,export,3685.0,4132.0
2017M06,2017,6,export,7433.0,3607.6666666666665
2017M07,2017,7,export,8265.0,3912.0
2017M08,2017,8,export,4230.0,3716.3333333333335
2017M09,2017,9,export,3239.0,4242.0
2017M10,2017,10,export,4612.0,3914.6666666666665
2017M11,2017,11,export,4770.0,3489.3333333333335
2017M12,2017,12,export,1619.0,3220.0
2018M01,2018,1,export,1393.0,2477.3333333333335
2018M02,2018,2,export,1757.0,2430.3333333333335
2018M03,2018,3,export,2184.0,3679.6666666666665
2018M04,2018,4,export,2326.0,3628.0
2018M05,2018,5,export,3980.0,4232.666666666667
2018M06,2018,6,export,4968.0,3887.6666666666665
2018M07,2018,7,export,3174.0,4026.3333333333335
2018M08,2018,8,export,3514.0,3769.6666666666665
2018M09,2018,9,export,2549.0,3893.3333333333335
2018M10,2018,10,export,3141.0,4081.6666666666665
2018M11,2018,11,export,2883.0,3931.6666666666665
2018M12,2018,12,export,1443.0,1911.0
2019M01,2019,1,export,1443.0,1911.0
2019M02,2019,2,export,1739.0,3259.0
2019M03,2019,3,export,1557.0,3934.6666666666665
2019M04,2019,4,export,3585.0,3864.0
2019M05,2019,5,export,2623.0,4095.0
2019M06,2019,6,export,2487.0,3529.3333333333335
2019M07,2019,7,export,2440.0,4571.0
2019M08,2019,8,export,2718.0,3496.0
2019M09,2019,9,export,2569.0,4239.0
2019M10,2019,10,export,2420.0,3786.6666666666665
2019M11,2019,11,export,1960.0,3699.6666666666665
2019M12,2019,12,export,1820.0,3301.0
2020M01,2020,1,export,1355.0,2632.6666666666665
2020M02,2020,2,export,1680.0,5263.666666666667
2020M03,2020,3,export,1289.0,4702.333333333333
2020M04,2020,4,export,1165.0,4852.333333333333
2020M05,2020,5,export,1982.0,5275.333333333333
2020M06,2020,6,export,3272.0,5547.0
2020M07,2020,7,export,3814.0,4167.333333333333
2020M08,2020,8,export,2586.0,3823.0
2020M09,2020,9,export,3979.0,4651.666666666667
2020M10,2020,10,export,4221.0,5042.0
2020M11,2020,11,export,2979.0,4899.333333333333
2020M12,2020,12,export,2199.0,6772.0
2021M01,2021,1,export,1760.0,3923.3333333333335
2021M02,2021,2,export,2429.0,4246.333333333333
2021M03,2021,3,export,3577.0,6524.666666666667
2021M04,2021,4,export,3858.0,6114.666666666667
2021M05,2021,5,export,3459.0,5963.333333333333
2021M06,2021,6,export,4372.0,7830.333333333333
2021M07,2021,7,export,3920.0,7347.333333333333
2021M08,2021,8,export,5765.0,6117.666666666667
2021M09,2021,9,export,3338.0,6462.666666666667
2021M10,2021,10,export,3691.0,6562.0
2021M11,2021,11,export,4267.0,6552.333333333333
2021M12,2021,12,export,3490.0,6239.0
2022M01,2022,1,export,2749.0,4120.333333333333
2022M02,2022,2,export,4118.72,7030.366666666668
2022M03,2022,3,export,6827.0,8727.333333333334
2022M04,2022,4,export,6279.5,9593.017666666667
2022M05,2022,5,export,5583.724,13878.892666666667
2022M06,2022,6,export,4363.869,10833.392
2022M07,2022,7,export,5055.164,7403.744333333333
2022M08,2022,8,export,7846.71,10780.641
2022M09,2022,9,export,5911.319,9343.071000000002
2022M10,2022,10,export,5501.648,8908.218333333332
2022M11,2022,11,export,4792.407,8876.709666666668
2022M12,2022,12,export,3867.828,9195.161
2023M01,2023,1,export,3171.992,7424.504333333333
2023M02,2023,2,export,4505.388,7491.171333333335
2023M03,2023,3,export,5189.856,8855.208666666667
2023M04,2023,4,export,4495.928,7340.323
2023M05,2023,5,export,5160.961,9523.763
2023M07,2023,7,export,3695.731,8061.363333333334
2023M08,2023,8,export,3483.621,7610.947333333333
2023M09,2023,9,export,3721.222,8880.691666666668
2023M10,2023,10,export,5229.0,8199.0
2023M11,2023,11,export,3750.0,7625.0
2023M12,2023,12,export,3775.0,7772.0
2024M01,2024,1,export,3814.0,5649.333333333333
2024M02,2024,2,export,4332.0,7744.333333333333
2024M03,2024,3,export,4075.0,9059.666666666666
2024M04,2024,4,export,3932.0,9131.333333333334
2024M05,2024,5,export,4388.498,11330.609000000002
2024M06,2024,6,export,4040.712,9160.013666666668
2024M07,2024,7,export,5012.835,12880.927000000001
2024M08,2024,8,export,5184.351,12498.961000000001
2024M09,2024,9,export,3812.615,9456.031
2024M10,2024,10,export,5935.298,10953.211333333335
2024M11,2024,11,export,4908.661,13080.235333333336
2024M12,2024,12,export,3820.189,9553.287
2017M01,2017,1,import,20883.0,4284.333333333333
2017M02,2017,2,import,35874.0,6620.0
2017M03,2017,3,import,38698.0,8893.666666666666
2017M04,2017,4,import,33485.0,9916.0
2017M05,2017,5,import,38188.0,10205.333333333334
2017M06,2017,6,import,36112.0,9820.0
2017M07,2017,7,import,38923.0,9822.333333333334
2017M08,2017,8,import,45599.0,10619.0
2017M09,2017,9,import,40312.0,9383.0
2017M10,2017,10,import,38171.0,10279.333333333334
2017M11,2017,11,import,36907.0,9963.333333333334
2017M12,2017,12,import,46768.0,8309.666666666666
2018M01,2018,1,import,31023.0,6001.333333333333
2018M02,2018,2,import,30205.0,6184.0
2018M03,2018,3,import,36697.0,8156.666666666667
2018M04,2018,4,import,37203.0,9700.666666666666
2018M05,2018,5,import,39391.0,12468.666666666666
2018M06,2018,6,import,37643.0,12355.666666666666
2018M07,2018,7,import,37558.0,12880.333333333334
2018M08,2018,8,import,42932.0,13443.333333333334
2018M09,2018,9,import,37588.0,12314.666666666666
2018M10,2018,10,import,37848.0,13468.333333333334
2018M11,2018,11,import,15529.0,12420.333333333334
2018M12,2018,12,import,5310.0,12269.333333333334
2019M01,2019,1,import,788.0,6103.666666666667
2019M02,2019,2,import,482.0,10585.666666666666
2019M03,2019,3,import,535.0,14300.666666666666
2019M04,2019,4,import,637.0,15658.666666666666
2019M05,2019,5,import,519.0,16582.333333333332
2019M06,2019,6,import,361.0,13587.666666666666
2019M07,2019,7,import,348.0,16133.0
2019M08,2019,8,import,292.0,15594.0
2019M09,2019,9,import,492.0,13890.0
2019M10,2019,10,import,270.0,14839.0
2019M11,2019,11,import,348.0,13611.0
2019M12,2019,12,import,712.0,13500.333333333334
2020M01,2020,1,import,260.0,8155.666666666667
2020M02,2020,2,import,438.0,9412.333333333334
2020M03,2020,3,import,1913.0,8948.333333333334
2020M04,2020,4,import,15173.0,6433.666666666667
2020M05,2020,5,import,18346.0,10157.333333333334
2020M06,2020,6,import,18042.0,12766.0
2020M07,2020,7,import,18914.0,14009.666666666666
2020M08,2020,8,import,15778.0,11135.0
2020M09,2020,9,import,19065.0,13067.0
2020M10,2020,10,import,23200.0,13732.0
2020M11,2020,11,import,19824.0,13084.0
2020M12,2020,12,import,23091.0,13783.666666666666
2021M01,2021,1,import,14102.0,6476.666666666667
2021M02,2021,2,import,18374.0,9499.0
2021M03,2021,3,import,22569.0,14881.333333333334
2021M04,2021,4,import,26095.0,15342.0
2021M05,2021,5,import,25412.0,15500.333333333334
2021M06,2021,6,import,25358.0,16248.333333333334
2021M07,2021,7,import,29870.0,16484.333333333332
2021M08,2021,8,import,28270.0,15376.333333333334
2021M09,2021,9,import,25427.0,16493.666666666668
2021M10,2021,10,import,31186.0,17680.666666666668
2021M11,2021,11,import,28467.0,17796.333333333332
2021M12,2021,12,import,29505.0,15254.0
2022M01,2022,1,import,16347.0,10393.333333333334
2022M02,2022,2,import,24642.0,13149.666666666666
2022M03,2022,3,import,32231.0,18686.333333333332
2022M04,2022,4,import,27246.0,15201.666666666666
2022M05,2022,5,import,31813.0,15239.666666666666
2022M06,2022,6,import,33757.0,17671.666666666668
2022M07,2022,7,import,37152.0,14812.333333333334
2022M08,2022,8,import,39115.0,17708.666666666668
2022M09,2022,9,import,33678.0,14590.666666666666
2022M10,2022,10,import,34090.0,14283.666666666666
2022M11,2022,11,import,31566.0,16417.333333333332
2022M12,2022,12,import,30435.0,19180.0
2023M01,2023,1,import,17870.0,10848.666666666666
2023M02,2023,2,import,21506.0,12058.0
2023M03,2023,3,import,29286.0,19415.0
2023M04,2023,4,import,27526.206,15681.452
2023M05,2023,5,import,27428.461,21225.111999999997
2023M06,2023,6,import,13255.0,17885.666666666668
2023M07,2023,7,import,6679.143,20097.085333333333
2023M08,2023,8,import,10974.705,18339.696333333333
2023M09,2023,9,import,10447.069,26623.599
2023M10,2023,10,import,12488.0,21322.666666666668
2023M11,2023,11,import,11420.0,20214.0
2023M12,2023,12,import,3775.0,7772.0
2024M01,2024,1,import,7110.0,15818.0
2024M02,2024,2,import,8504.0,21249.0
2024M03,2024,3,import,9369.0,17805.0
2024M04,2024,4,import,9190.0,17181.333333333332
2024M05,2024,5,import,7924.897,18054.445333333333
2024M06,2024,6,import,8605.725,17337.697333333334
2024M07,2024,7,import,8594.755,17851.520666666667
2024M08,2024,8,import,8845.573,20153.567
2024M09,2024,9,import,10508.115,16335.920666666667
2024M10,2024,10,import,13167.151,18165.287
2024M11,2024,11,import,18127.915,15733.761666666667
2024M12,2024,12,import,19770.045,24918.351333333336
