year,flow,n_zero,n_total,zero_rate_pct
2010,export,177,253,69.96047430830039
2010,import,106,253,41.89723320158103
2011,export,173,253,68.3794466403162
2011,import,99,253,39.130434782608695
2012,export,176,253,69.56521739130434
2012,import,100,253,39.52569169960474
2013,export,173,253,68.3794466403162
2013,import,96,253,37.944664031620555
2014,export,170,253,67.19367588932806
2014,import,92,253,36.36363636363637
2015,export,163,253,64.42687747035573
2015,import,99,253,39.130434782608695
2016,export,164,253,64.82213438735178
2016,import,95,253,37.54940711462451
2017,export,159,253,62.84584980237154
2017,import,92,253,36.36363636363637
2018,export,158,253,62.45059288537549
2018,import,93,253,36.758893280632414
2019,export,151,253,59.683794466403164
2019,import,100,253,39.52569169960474
2020,export,156,253,61.6600790513834
2020,import,92,253,36.36363636363637
2021,export,124,253,49.01185770750988
2021,import,83,253,32.80632411067194
2022,export,115,253,45.45454545454545
2022,import,90,253,35.573122529644266
2023,export,130,253,51.383399209486164
2023,import,88,253,34.78260869565217
2024,export,118,253,46.640316205533594
2024,import,82,253,32.41106719367589
