layer,n_features,fold_idx,last_train_year,test_year,n_train,n_test,rmse,mae,r2
L1_structural,3,0,2017.0,2018.0,784.0,112.0,22418.643599915456,8587.619127147718,0.9070303618031706
L1_structural,3,1,2018.0,2019.0,896.0,112.0,45082.63539819855,15625.902359856625,0.6627830341425813
L1_structural,3,2,2019.0,2020.0,1008.0,112.0,23265.26171909995,8320.441920102881,0.8954824909571879
L1_structural,3,3,2020.0,2021.0,1120.0,111.0,52512.103015159075,18885.73067750563,0.7428657589451626
L1_structural,3,4,2021.0,2022.0,1231.0,111.0,76319.05321434338,26285.729387553016,0.633672935489564
L2_policy,7,0,2017.0,2018.0,784.0,112.0,20137.16162975298,7500.311969416121,0.9249900308220009
L2_policy,7,1,2018.0,2019.0,896.0,112.0,42773.09098503424,13918.84480856684,0.6964487006629385
L2_policy,7,2,2019.0,2020.0,1008.0,112.0,20162.450826243734,6864.25735287757,0.9215017801273816
L2_policy,7,3,2020.0,2021.0,1120.0,111.0,49746.87633754264,17217.13774467979,0.7692335216763168
L2_policy,7,4,2021.0,2022.0,1231.0,111.0,73686.64355334039,24042.81311365668,0.6585079424671468
L3_macro,10,0,2017.0,2018.0,784.0,112.0,27744.83229231146,8337.696780745066,0.8576076415971982
L3_macro,10,1,2018.0,2019.0,896.0,112.0,44272.320655126874,13041.248637021068,0.6747963587263248
L3_macro,10,2,2019.0,2020.0,1008.0,112.0,35331.62835809317,9677.398148529393,0.7589536980952012
L3_macro,10,3,2020.0,2021.0,1120.0,111.0,49061.44301409314,16950.195797529028,0.7755489064709965
L3_macro,10,4,2021.0,2022.0,1231.0,111.0,66429.87390444776,22940.356154806253,0.7224572328775315
L4_lagged,12,0,2017.0,2018.0,784.0,112.0,11476.963543454038,4563.736683394222,0.9756344353966496
L4_lagged,12,1,2018.0,2019.0,896.0,112.0,42565.233703224345,11226.877188451477,0.6993917678826409
L4_lagged,12,2,2019.0,2020.0,1008.0,112.0,26627.695021207124,9271.956521923214,0.8630883784731874
L4_lagged,12,3,2020.0,2021.0,1120.0,111.0,39886.44776764451,13028.713209915659,0.8516485447197779
L4_lagged,12,4,2021.0,2022.0,1231.0,111.0,45853.034083651044,15434.501977597023,0.8677671939478536
L1_structural,3,mean,,,,,43919.539389343285,15541.084694433175,0.7683669162675333
L2_policy,7,mean,,,,,41301.2446663828,13908.6729978394,0.7941363951511569
L3_macro,10,mean,,,,,44568.019644814485,14189.37910372616,0.7578727675534505
L4_lagged,12,mean,,,,,33281.87482383622,10705.157116256318,0.851506064084022
